vendor name,price,region,country,postal code,sector,latitude,longitude
Recreation Park 18 Golf Course,7126.0,Los Angeles,US,90804 US,Country Club Weddings,33.78185317310925,-118.15583243277311
Skylinks at Long Beach,9784.0,Los Angeles,US,90808 US,Country Club Weddings,33.81386950556088,-118.11614150862897
Chester Washington Golf Course,5101.0,Los Angeles,US,90047 US,Country Club Weddings,33.95087745494506,-118.30341811098903
Natural History Museum of Los Angeles County,8162.0,Los Angeles,US,90007 US,Museum Weddings,34.03076192113565,-118.27991434132493
El Dorado Park Golf Course & Event Center,5195.0,Los Angeles,US,90815 US,Country Club Weddings,33.79483472997382,-118.12605194267016
The Houdini Estate,9506.0,Los Angeles,US,90046 US,Historic Weddings,34.090723381081084,-118.35991145559845
The Kellogg House,9235.0,Los Angeles,US,91768 US,Historic Weddings,34.06783579737533,-117.77735466745408
The Ebell of Los Angeles,29907.0,Los Angeles,US,90005 US,Historic Weddings,34.059953118461536,-118.30206287923076
The Little White Church,3072.0,Los Angeles,US,91107 US,Church & Temple Weddings,34.15406330027322,-118.0860587043716
Upland Events and Banquet Center,6338.0,Inland Empire,US,91786 US,Banquet Halls,34.106007470069805,-117.65950411771378
Classic Club,12304.0,Inland Empire,US,92211 US,Country Club Weddings,33.78468909814471,-116.37342739628942
